created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Sep 29 04:08:59 +0000 2023;1707608387104756041;"Gak mau ekspektasi tinggi ke siapapun atau apapun. Sekarang aku berekspektasi serendah-rendahnya demi kesehatan mental. Lagi fokus sembuhin luka batin karena kehilangan kematian dan saling menguatkan keluarga.";0;1;0;2;in;3062146478;1707608387104756041;uripa__;https://twitter.com/uripa__/status/1707608387104756041
Wed Sep 27 10:52:40 +0000 2023;1706985198976692541;"PEMBERIAN MATERI KONSELING DAN KESEHATAN MENTAL https://t.co/ajvf0KeSAX";0;0;0;0;in;237645735;1706985198976692541;poltekbangsby;https://twitter.com/poltekbangsby/status/1706985198976692541
Tue Sep 26 07:38:34 +0000 2023;1706573966780026906;"Ada banyak alasan mengapa orang tidak mencari bantuan kesehatan mental profesional, meskipun mengalami masalah kesehatan mental, berikut beberapa diantaranya: 1. Stigma 2. Penyangkalan 3. Keterbatasan Finansial 4. Kurangnya Akses 5. Kurangnya Dukungan Sosial https://t.co/inHugWynYm";1;1;3;5;in;1494877853481320449;1706573966780026906;Merajuthati_;https://twitter.com/Merajuthati_/status/1706573966780026906
Tue Sep 26 07:30:55 +0000 2023;1706572037719036362;"dr. Hasto jg mengatakan, perencanaan keluarga adl poin penting yg hra dipersiapkan stlh  menikah. Dg perencanaan keluarga yg matang, pasangan bs mengembangkan diri dan karier. Kemampuan utk merencanakan kehamilan jg dipercaya dpt meningkatkan kesehatan mental dan kebahagiaan.";0;0;0;0;in;1054177946221502465;1706572037719036362;BKKBN_DIY;https://twitter.com/BKKBN_DIY/status/1706572037719036362
Tue Sep 26 04:22:55 +0000 2023;1706524727681151421;"Kesehatan mental adalah hal yang sangat penting, dan kita semua pantas mendapatkan dukungan kesehatan mental yang kita perlukan.";0;0;0;3;in;1494877853481320449;1706524723977605393;Merajuthati_;https://twitter.com/Merajuthati_/status/1706524727681151421
Tue Sep 26 04:22:54 +0000 2023;1706524725860880551;"Jika diri kita atau seseorang yang kita kenal berjuang dengan depresi yang parah atau berpikir tentang bunuh diri, segera hubungi layanan darurat atau sumber bantuan kesehatan mental.";0;1;0;3;in;1494877853481320449;1706524723977605393;Merajuthati_;https://twitter.com/Merajuthati_/status/1706524725860880551
Tue Sep 26 03:33:59 +0000 2023;1706512413347250622;"Kesehatan Mental sedang di uji🥲";0;0;0;0;in;1936502516;1706512413347250622;ekalaunuru;https://twitter.com/ekalaunuru/status/1706512413347250622
Tue Sep 26 02:44:57 +0000 2023;1706500075713929594;"Kesehatan, mental dan apapun itu aku sudah tidak peduli 🙂 biar semua rusak, dan aku pun sudah tidak peduli lagi…  aku hanya peduli dengan cintaku, sayangku ke kamu dan hubungan kita tetap baik, aku sudah merasa cukup.";0;0;0;0;in;1630627163132284930;1706500075713929594;saanss20;https://twitter.com/saanss20/status/1706500075713929594
Mon Sep 25 14:23:51 +0000 2023;1706313571368337526;"@faizahsalmaw Ndak usah ndak usah. Kalo memang nungguin sal doang. Ayo lindungi kesehatan mental kita. Ntr kalo sal menang info twt baru gercep. Tp kl mau nonton rony ya silakan. Wkwkwk";0;1;0;0;in;378603881;1706312631458447789;nurlezat2;https://twitter.com/nurlezat2/status/1706313571368337526
Mon Sep 25 14:07:36 +0000 2023;1706309481905135911;"@cheesyy73 Sal dateng info kak rad. Tp buat kesehatan mental, kl cuma nungggin sal mending gausa nonton deh. Kita tunggu kabar baiknya aja. Pasti cuplikan sal banyak di tiktok ntr";1;4;0;59;in;378603881;1706308675885826104;nurlezat2;https://twitter.com/nurlezat2/status/1706309481905135911
Mon Sep 25 12:07:16 +0000 2023;1706279196878880959;"Demi menyelamatkan kesehatan dan kewarasan mental mending gak usah ketemu dulu";0;0;0;0;in;558359822;1706279196878880959;Gorenggg_;https://twitter.com/Gorenggg_/status/1706279196878880959
Mon Sep 25 06:41:20 +0000 2023;1706197175724900499;"Terapi kesehatan mental adalah perjalanan menuju pemulihan diri yang membangun fondasi kekuatan, ketenangan, dan keseimbangan.   Dalam setiap sesi, kita diarahkan menggali potensi diri, merangkul emosi, dan memetakan jalan menuju kesejahteraan pikiran yang berkelanjutan";1;0;1;4;in;1494877853481320449;1706197175724900499;Merajuthati_;https://twitter.com/Merajuthati_/status/1706197175724900499
Mon Sep 25 02:04:55 +0000 2023;1706127609221046396;"Memaafkan untuk kesehatan mental Tidak ada yang bisa menyelamatkan mentalmu jika dendammu tidak terselesaikan  ~°•";0;1;0;2;in;1241964196532609024;1706127609221046396;putrih_18;https://twitter.com/putrih_18/status/1706127609221046396
Sun Sep 24 17:35:44 +0000 2023;1705999469727404156;"Kesehatan mental itu jauh lebih penting, losing toxic people is a win";0;0;0;3;in;1417970287300153345;1705999469727404156;stobelisundae;https://twitter.com/stobelisundae/status/1705999469727404156
Fri Sep 22 07:07:53 +0000 2023;1705116692198859176;"Hambatan spasial kesehatan mental di Indonesia https://t.co/WIXjHs0x7Q via @YouTube";0;0;0;1;in;1494877853481320449;1705116692198859176;Merajuthati_;https://twitter.com/Merajuthati_/status/1705116692198859176
Thu Sep 21 06:39:30 +0000 2023;1704747162125709464;"Udah ada studi kasus belum sih terkait dampak sebagai fans emyu terhadap kesehatan mental di kehidupan sehari-hari";0;3;0;0;in;1003894495086182401;1704747162125709464;issPaiss;https://twitter.com/issPaiss/status/1704747162125709464
Thu Sep 21 04:24:09 +0000 2023;1704713099658531104;"Ikuti Merajut Hati di media sosial dan kunjungi website https://t.co/Pg05W0fcOc untuk menjadi bagian dari komunitas suportif kesehatan mental di Indonesia.";0;0;1;3;in;1494877853481320449;1704713097917895014;Merajuthati_;https://twitter.com/Merajuthati_/status/1704713099658531104
